Year,Country   ,Region,Song language,Artist   ,Song   ,English translation ,Artist gender,Group/Solo,Place,Points,Host Country,Host region,Home/Away Country,Home/Away Region,Approximate Betting Prices,Albania ,Andorra ,Armenia ,Austria,Azerbaijan ,Belarus ,Belgium ,Bosnia and Herzegovina ,Bulgaria ,Croatia ,Cyprus ,Czech Republic ,Denmark ,Estonia ,Finland ,France ,Georgia,Germany ,Greece ,Hungary ,Iceland ,Ireland ,Israel ,Latvia ,Lithuania ,Macedonia ,Malta ,Moldova ,Monaco,Montenegro ,Netherlands ,Norway ,Poland ,Portugal ,Romania ,Russia ,San Marino,Serbia ,Serbia & Montenegro,Slovakia ,Slovenia ,Spain ,Sweden ,Switzerland ,Turkey ,Ukraine ,United Kingdom ,,,,,,,,,,,,
2009,Lithuania,Former Socialist Bloc,"English, Russian ",Sasha Son ,"""Love"" ",? ,Male,Solo,23,23,Russia,Former Socialist Bloc,Away,Home,270,0,0,0,,1,0,0,0,1,0,0,0,1,2,0,0,,0,0,0,0,7,0,7,,0,0,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,4,,,,,,,,,,,,
2009,Israel,Independent,"English, Hebrew, Arabic ",Noa and Mira Awad ,"""There Must Be Another Way"" ",? ,Female,Group,16,53,Russia,Former Socialist Bloc,Away,Away,236,0,7,0,,0,0,8,8,0,0,0,4,0,5,0,10,,0,0,0,0,0,,0,0,0,0,0,,4,0,0,0,0,0,0,,0,,5,0,0,0,1,0,1,0,,,,,,,,,,,,
2009,France,Western Europe,French ,Patricia Kaas ,"""Et s'il fallait le faire"" ",And if it had to be done ,Female,Solo,8,107,Russia,Former Socialist Bloc,Away,Away,36,2,3,6,,0,7,1,6,0,0,0,0,2,0,4,,,3,6,0,6,3,5,5,6,0,0,0,,1,6,1,0,0,0,10,,3,,0,7,3,0,7,0,3,1,,,,,,,,,,,,
2009,Sweden,Scandinavia,"English, French ",Malena Ernman ,"""La voix"" ",The voice ,Female,Solo,21,33,Russia,Former Socialist Bloc,Away,Away,63,1,2,0,,0,0,0,0,0,0,0,0,4,6,7,2,,0,0,0,3,0,0,0,0,0,4,0,,0,0,4,0,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,,,,,,
2009,Croatia,Former Yugoslavia,Croatian ,Igor Cukrov feat. Andrea ,"""Lijepa Tena"" ",Beautiful Tena ,Both,Group,18,45,Russia,Former Socialist Bloc,Away,Away,607,0,0,0,,5,0,0,12,0,,0,0,0,0,0,0,,0,2,0,1,0,0,0,0,4,0,2,,8,0,0,0,0,0,0,,5,,0,6,0,0,0,0,0,0,,,,,,,,,,,,
2009,Portugal,Western Europe,Portuguese ,Flor-de-Lis ,"""Todas as ruas do amor"" ",All the streets of love ,Both,Group,15,57,Russia,Former Socialist Bloc,Away,Away,197,0,6,0,,0,0,6,1,0,0,0,7,0,3,0,7,,0,0,0,7,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,2,0,8,0,10,0,0,0,,,,,,,,,,,,
2009,Iceland,Scandinavia,English ,Yohanna,"""Is It True?"" ",? ,Female,Solo,2,218,Russia,Former Socialist Bloc,Away,Away,33,6,8,5,,0,2,0,0,5,2,5,2,10,8,10,0,,7,4,7,,12,10,8,8,2,12,3,,5,7,12,1,8,10,3,,0,,6,5,0,10,5,2,0,8,,,,,,,,,,,,
2009,Greece,Western Europe,English ,Sakis Rouvas ,"""This Is Our Night"" ",? ,Male,Solo,7,120,Russia,Former Socialist Bloc,Away,Away,9,12,0,10,,0,5,5,5,12,7,12,0,0,0,0,0,,6,,4,0,0,0,0,0,0,7,0,,2,1,0,0,0,8,4,,6,,0,4,1,2,2,0,0,5,,,,,,,,,,,,
2009,Armenia,Former Socialist Bloc,"English, Armenian ",Inga and Anush ,"""Jan Jan""",My dear ,Female,Group,10,92,Russia,Former Socialist Bloc,Away,Home,129,0,0,,,0,1,7,0,6,0,4,12,0,0,1,6,,0,0,0,5,0,8,0,0,1,0,0,,0,5,0,2,4,7,5,,0,,3,0,4,3,0,6,2,0,,,,,,,,,,,,
2009,Russia,Former Socialist Bloc,"Russian, Ukrainian ",Anastasiya Prikhodko ,"""Mamo""",Mother ,Female,Solo,11,91,Russia,Former Socialist Bloc,Home,Home,125,0,0,12,,6,8,0,0,0,0,1,8,0,10,0,0,,5,0,0,0,0,7,6,7,0,0,6,,0,0,0,3,0,0,,,0,,0,0,0,0,0,4,8,0,,,,,,,,,,,,
2009,Azerbaijan,Former Socialist Bloc,English ,AySel and Arash ,"""Always"" ",? ,Both,Group,?3,207,Russia,Former Socialist Bloc,Away,Home,12,4,0,1,,,10,3,3,8,10,8,10,8,7,2,1,,0,8,10,0,0,6,4,5,3,1,10,,6,10,10,6,0,4,7,,4,,4,1,0,8,0,12,10,3,,,,,,,,,,,,
2009,Bosnia and Herzegovina,Former Yugoslavia,Bosnian,Regina ,"""Bistra voda"" ",Clear water ,Male,Group,?9,106,Russia,Former Socialist Bloc,Away,Away,25,5,0,0,,2,0,0,,4,12,0,0,0,0,6,0,,2,0,0,2,0,0,0,0,10,0,0,,12,4,0,0,0,0,0,,12,,8,10,0,5,4,8,0,0,,,,,,,,,,,,
2009,Moldova,Former Socialist Bloc,"Romanian, English ",Nelly Ciobanu ,"""Hora din Moldova"" ",Dance from Moldova ,Female,Solo,14,69,Russia,Former Socialist Bloc,Away,Home,261,0,0,2,,7,0,4,0,0,3,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,,0,0,3,5,12,12,1,,0,,0,0,5,0,0,7,7,0,,,,,,,,,,,,
2009,Malta,Western Europe,English ,Chiara ,"""What If We"" ",? ,Female,Solo,22,31,Russia,Former Socialist Bloc,Away,Away,57,0,1,0,,0,0,0,0,0,0,0,0,0,0,3,0,,4,0,0,0,5,0,1,1,0,,0,,0,0,0,0,0,3,0,,7,,0,0,0,0,0,0,0,6,,,,,,,,,,,,
2009,Estonia,Former Socialist Bloc,Estonian ,Urban Symphony ,"""RÑndajad"" ",Nomads ,Female,Solo,?6,129,Russia,Former Socialist Bloc,Away,Home,62,0,0,0,,4,4,0,0,0,6,3,0,5,,12,0,,1,5,6,10,6,0,10,10,0,0,7,,0,0,0,8,0,1,8,,0,,12,0,0,7,0,0,4,0,,,,,,,,,,,,
2009,Denmark,Scandinavia,English ,Niels Brinck ,"""Believe Again"" ",? ,Male,Solo,13,74,Russia,Former Socialist Bloc,Away,Away,89,0,5,0,,0,0,0,0,0,0,6,0,,0,0,5,,0,0,3,4,4,0,3,2,0,6,5,,0,0,8,7,0,2,0,,1,,0,8,0,0,0,0,5,0,,,,,,,,,,,,
2009,Germany,Western Europe,English ,Alex Swings Oscar Sings! ,"""Miss Kiss Kiss Bang"" ",? ,Male,Solo,20,35,Russia,Former Socialist Bloc,Away,Away,125,3,0,0,,0,0,2,2,0,0,0,0,7,0,0,3,,,0,0,0,1,0,0,0,0,0,0,,0,2,6,0,1,0,0,,0,,0,0,0,0,0,1,0,7,,,,,,,,,,,,
2009,Turkey,Independent,English ,Hadise ,"""DÅm Tek Tek"" ",? ,Female,Solo,4,177,Russia,Former Socialist Bloc,Away,Away,16,10,0,4,,12,0,12,7,10,1,0,1,6,0,5,12,,10,3,5,0,0,3,0,0,12,5,0,,3,8,7,0,3,6,0,,0,,0,0,2,6,12,,0,12,,,,,,,,,,,,
2009,Albania,Former Socialist Bloc,English ,Kejsi Tola ,"""Carry Me in Your Dreams"" ",? ,Female,Solo,17,48,Russia,Former Socialist Bloc,Away,Home,147,,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,,0,7,2,0,0,0,0,0,7,0,0,,7,0,0,0,0,0,0,,0,,0,2,0,1,6,10,0,0,,,,,,,,,,,,
2009,Norway,Scandinavia,English ,Alexander Rybak ,"""Fairytale"" ",? ,Male,Solo,?1,387,Russia,Former Socialist Bloc,Away,Away,2,7,10,8,,8,12,10,10,2,8,10,3,12,12,8,8,,12,10,12,12,8,12,12,12,8,8,8,,10,12,,12,5,5,12,,10,,10,12,12,12,8,3,12,10,,,,,,,,,,,,
2009,Ukraine,Former Socialist Bloc,English ,Svetlana Loboda ,"""Be My Valentine"" ",? ,Female,Solo,12,76,Russia,Former Socialist Bloc,Away,Home,28,0,0,3,,10,6,0,0,0,0,0,5,0,0,0,0,,0,0,8,0,0,2,0,4,0,2,4,,0,0,5,10,6,0,2,,0,,1,0,6,0,0,0,,2,,,,,,,,,,,,
2009,Romania,Former Socialist Bloc,English ,Elena ,"""The Balkan Girls"" ",? ,Female,Solo,19,40,Russia,Former Socialist Bloc,Away,Home,210,0,0,0,,3,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,2,0,0,0,5,0,12,,0,0,0,0,2,,0,,2,,0,0,7,0,0,5,0,0,,,,,,,,,,,,
2009,United Kingdom,Independent,English ,Jade Ewen ,"""It's My Time"" ",? ,Female,Solo,?5 ,173,Russia,Former Socialist Bloc,Away,Away,16,8,4,7,,0,3,0,4,7,4,7,6,3,0,0,4,,8,12,1,0,10,4,2,3,6,10,1,,0,3,2,4,10,0,6,,8,,7,3,10,0,0,0,6,,,,,,,,,,,,,
2009,Finland ,Scandinavia,English ,Waldo's People ,"""Lose Control"" ",? ,Both,Group,25,22,Russia,Former Socialist Bloc,Away,Away,89,0,0,0,,0,0,0,0,3,0,0,0,0,4,,0,,0,0,0,8,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,,0,,0,0,0,4,0,0,0,0,,,,,,,,,,,,
2009,Spain,Western Europe,"Spanish, English ",Soraya Arnelas ,"""La noche es para m°"" ",The night is for me ,Female,Solo,23,23,Russia,Former Socialist Bloc,Away,Away,108,0,12,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,7,0,0,,0,,0,0,,0,3,0,0,0,,,,,,,,,,,,
2008,Romania,Former Socialist Bloc,"Romanian, Italian",Nico and Vlad,"""Pe-o margine de lume""",On an edge of the world,Both,Group,20,45,Serbia,Former Yugoslavia,Away,Away,95,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,6,0,0,0,0,12,,0,0,0,0,4,,0,1,0,,,0,12,0,0,0,0,0,,,,,,,,,,,,
2008,United Kingdom,Independent,English,Andy Abraham,"""Even If""",?,Male,Solo,25,14,Serbia,Former Yugoslavia,Away,Away,265,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,6,0,,,0,0,0,0,0,0,,,,,,,,,,,,,
2008,Albania,Former Socialist Bloc,Albanian,Olta Boka,"""Zemrân e lamâ peng""",Hearts trapped in time,Female,Solo,17,43,Serbia,Former Yugoslavia,Away,Away,270,,0,0,,1,0,0,1,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,12,0,0,,7,0,0,0,0,0,0,3,0,,,4,0,0,8,1,0,0,,,,,,,,,,,,
2008,Germany,Western Europe,English,No Angels,"""Disappear""",?,Female,Group,23,14,Serbia,Former Yugoslavia,Away,Away,348,0,0,0,,0,0,0,0,12,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,0,,,,,,,,,,,,
2008,Armenia,Former Socialist Bloc,"English, Armenian",Sirusho,"""QÇlÇ, QÇlÇ""","Come on, come on",Female,Solo,4,198,Serbia,Former Yugoslavia,Away,Away,14,2,0,,,0,7,12,6,8,0,10,12,0,0,0,12,12,6,12,0,1,0,8,0,0,1,0,2,,1,12,0,12,0,4,12,8,5,,,5,10,2,0,10,7,0,,,,,,,,,,,,
2008,Bosnia and Herzegovina,Former Yugoslavia,Bosnian,Laka,"""Poku?aj""",Try,Male,Solo,10,105,Serbia,Former Yugoslavia,Away,Home,29,0,0,0,,3,0,0,,0,12,0,1,2,0,6,2,0,5,0,0,0,2,0,0,0,5,0,0,,10,7,10,0,0,0,0,0,12,,,10,0,10,7,6,0,0,,,,,,,,,,,,
2008,Israel,Independent,"Hebrew, English",Boaz Ma'uda,"""The Fire in Your Eyes""",?,Male,Solo,9,124,Serbia,Former Yugoslavia,Away,Away,120,4,0,6,,7,4,5,5,2,2,2,0,0,0,8,6,3,3,1,3,0,0,,0,3,0,0,6,,5,3,3,5,0,6,6,10,7,,,3,0,0,1,0,5,0,,,,,,,,,,,,
2008,Finland ,Scandinavia,Finnish,TerÑsbetoni,"""MissÑ miehet ratsastaa""",Where men ride,Male,Group,22,35,Serbia,Former Yugoslavia,Away,Away,31,0,4,0,,0,0,0,0,0,0,0,0,0,10,,0,0,0,0,0,7,0,0,1,0,0,0,0,,0,0,4,2,0,0,0,0,0,,,0,0,7,0,0,0,0,,,,,,,,,,,,
2008,Croatia,Former Yugoslavia,Croatian,Kraljevi Ulice and 75 cents,"""Romanca""",Romance,Both,Group,21,42,Serbia,Former Yugoslavia,Away,Home,248,0,0,2,,0,0,0,10,0,,0,0,0,0,0,0,1,2,0,0,0,0,0,5,0,2,0,0,,2,0,0,0,3,1,1,0,3,,,8,0,0,3,0,1,0,,,,,,,,,,,,
2008,Poland,Former Socialist Bloc,English,Isis Gee,"""For Life""",?,Female,Solo,24,14,Serbia,Former Yugoslavia,Away,Away,208,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,4,,,,,,,,,,,,
2008,Iceland,Scandinavia,English,Euroband,"""This is My Life""",?,Both,Group,14,64,Serbia,Former Yugoslavia,Away,Away,105,0,0,0,,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,,0,4,2,0,0,6,0,,0,0,8,0,7,0,0,0,0,,,0,4,8,0,0,0,6,,,,,,,,,,,,
2008,Turkey,Independent,Turkish,Mor ve ôtesi,"""Deli""",Crazy,Male,Group,7,131,Serbia,Former Yugoslavia,Away,Away,34,10,0,0,,12,3,10,8,5,0,0,0,4,0,4,10,6,10,0,5,0,0,0,0,0,7,0,0,,0,10,2,0,0,8,2,4,0,,,0,0,0,6,,4,8,,,,,,,,,,,,
2008,Portugal,Western Europe,Portuguese,VÉnia Fernandes,"""Senhora do mar (Negras †guas)""",Lady of the sea (Dark waters),Female,Solo,13,69,Serbia,Former Yugoslavia,Away,Away,59,0,10,0,,0,0,6,0,0,3,0,0,0,0,0,8,0,4,0,0,6,0,0,0,0,0,0,0,,0,5,0,0,,0,0,5,1,,,0,8,0,10,0,3,0,,,,,,,,,,,,
2008,Latvia,Former Socialist Bloc,English,Pirates of the Sea,"""Wolves of the Sea""",?,Both,Group,12,83,Serbia,Former Yugoslavia,Away,Away,62,0,2,0,,0,0,0,0,0,4,0,3,6,7,0,0,2,0,0,0,4,12,0,,10,0,7,0,,3,0,0,0,8,0,0,0,0,,,0,2,3,0,0,0,10,,,,,,,,,,,,
2008,Sweden,Scandinavia,English,Charlotte Perrelli,"""Hero""",?,Female,Solo,18,47,Serbia,Former Yugoslavia,Away,Away,16,3,0,0,,0,0,0,0,0,0,1,0,8,2,5,0,0,0,0,1,3,0,1,0,1,0,12,0,,0,0,7,0,0,0,0,0,2,,,0,1,,0,0,0,0,,,,,,,,,,,,
2008,Denmark,Scandinavia,English,Simon Mathew,"""All Night Long""",?,Male,Solo,15,60,Serbia,Former Yugoslavia,Away,Away,106,0,0,0,,0,0,0,0,0,0,0,2,,3,0,0,0,0,0,2,12,1,0,7,2,0,4,0,,0,0,12,0,5,0,0,2,0,,,0,0,5,0,0,0,3,,,,,,,,,,,,
2008,Georgia,Former Socialist Bloc,English,Diana Gurtskaya,"""Peace Will Come""",?,Female,Solo,11,83,Serbia,Former Yugoslavia,Away,Away,84,0,0,10,,4,6,0,0,0,0,7,4,0,5,0,0,,0,4,0,0,0,2,8,5,0,5,3,,0,0,0,0,1,0,7,0,0,,,0,0,0,0,4,8,0,,,,,,,,,,,,
2008,Ukraine,Former Socialist Bloc,English,Ani Lorak,"""Shady Lady""",?,Female,Solo,2,226,Serbia,Former Yugoslavia,Away,Away,5,8,6,5,,10,10,1,3,7,7,6,8,7,4,3,0,10,0,6,6,5,6,10,10,6,4,10,7,,4,0,0,10,12,3,8,0,6,,,2,7,0,0,8,,5,,,,,,,,,,,,
2008,France,Western Europe,"English, French",SÇbastien Tellier,"""Divine""",?,Male,Solo,19,47,Serbia,Former Yugoslavia,Away,Away,91,0,3,4,,0,0,0,0,0,0,0,0,5,6,2,,0,0,0,0,8,0,0,3,8,0,0,0,,0,0,1,1,0,0,0,0,0,,,0,0,4,0,0,0,2,,,,,,,,,,,,
2008,Azerbaijan,Former Socialist Bloc,English,Elnur and Samir,"""Day After Day""",?,Both,Group,8,124,Serbia,Former Yugoslavia,Away,Away,90,0,7,0,,,8,7,0,3,0,0,10,0,0,0,0,7,1,3,12,0,0,3,4,7,8,0,8,,0,2,0,7,0,2,10,0,0,,,1,0,0,0,12,10,0,,,,,,,,,,,,
2008,Greece,Western Europe,English,Kalomira,"""Secret Combination""",?,Female,Solo,3,215,Serbia,Former Yugoslavia,Away,Away,9,12,8,8,,6,2,8,7,10,5,12,5,3,1,0,3,4,12,,8,0,4,5,0,0,3,2,4,,6,6,0,3,0,12,3,12,8,,,6,3,1,5,7,2,12,,,,,,,,,,,,
2008,Spain,Western Europe,"Spanish, English",Rodolfo Chikilicuatre,"""Baila el Chiki-chiki""",Dance the Chiki-chiki,Male,Solo,16,55,Serbia,Former Yugoslavia,Away,Away,43,1,12,1,,0,0,4,0,0,0,4,0,1,0,1,5,0,0,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,10,0,0,0,0,,,0,,0,4,3,0,1,,,,,,,,,,,,
2008,Serbia,Former Yugoslavia,Serbian,Jelena Toma?evi?,"""Oro""",Hora,Female,Solo,6,150,Serbia,Former Yugoslavia,Home,Home,11,5,0,3,,2,1,0,12,4,10,5,6,0,0,0,7,0,8,5,7,2,0,0,0,0,10,1,1,,12,8,6,4,0,7,4,0,,,,12,0,6,12,0,0,0,,,,,,,,,,,,
2008,Russia,Former Socialist Bloc,English,Dima Bilan,"""Believe""",?,Male,Solo,1,266,Serbia,Former Yugoslavia,Away,Away,3,6,5,12,,8,12,3,4,6,6,8,7,0,12,10,1,8,7,7,10,0,5,12,12,12,6,8,10,,8,1,5,6,6,10,,0,10,,,7,5,0,0,5,12,0,,,,,,,,,,,,
2008,Norway,Scandinavia,English,Maria Haukaas Storeng,"""Hold On Be Strong""",?,Female,Solo,5,182,Serbia,Former Yugoslavia,Away,Away,48,7,1,7,,5,5,2,2,1,1,0,0,10,8,12,0,5,0,2,4,10,7,7,6,4,0,3,5,,0,4,,8,2,5,5,7,4,,,0,6,12,0,2,6,7,,,,,,,,,,,,
2007,Bosnia and Herzegovina,Former Yugoslavia,Bosnian,Marija,"""Rijeka bez imena""",River without a name,Female,Solo,11,106,Finland,Scandinavia,Away,Away,188,8,0,1,8,,0,0,,0,10,0,4,7,0,0,1,0,3,0,0,0,0,0,0,0,4,0,0,,7,7,6,0,0,0,0,,8,,,8,0,6,8,10,0,0,,,,,,,,,,,,
2007,Spain,Western Europe,"Spanish, English",D'NASH,"""I Love You Mi Vida""",I love you my darling,Male,Group,20,43,Finland,Scandinavia,Away,Away,125,12,0,0,0,,0,3,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,2,0,,4,0,0,0,8,0,0,,0,,,0,,0,5,0,0,0,,,,,,,,,,,,
2007,Belarus,Former Socialist Bloc,English,Dmitry Koldun,"""Work Your Magic""",?,Male,Solo,6,145,Finland,Scandinavia,Away,Away,11,2,0,10,0,,,0,4,1,0,6,2,0,7,0,0,8,0,5,4,4,0,12,8,7,7,10,10,,3,0,0,7,1,1,12,,2,,,0,0,0,0,0,12,0,,,,,,,,,,,,
2007,Ireland,Independent,English,Dervish,"""They Can't Stop The Spring""",?,Both,Group,24,5,Finland,Scandinavia,Away,Away,100,5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,,,,,,,,,,,,
2007,Finland ,Scandinavia,English,Hanna Pakarinen,"""Leave Me Alone""",?,Female,Solo,17,53,Finland,Scandinavia,Away,Home,68,0,7,0,0,,1,0,0,0,0,0,0,4,6,,0,0,1,0,0,12,0,0,0,5,0,0,0,,0,0,4,0,0,0,0,,0,,,0,0,12,1,0,0,0,,,,,,,,,,,,
2007,Macedonia,Former Yugoslavia,"Macedonian, English",Karolina,"""Mojot svet""",My world,Female,Solo,14,73,Finland,Scandinavia,Away,Away,95,3,0,0,1,,0,0,8,10,8,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,10,0,0,0,0,0,0,,10,,,10,0,0,6,1,0,0,,,,,,,,,,,,
2007,Slovenia,Former Yugoslavia,Slovene,Alenka Gotar,"""Cvet z juga""",Flower of the south,Female,Solo,15,66,Finland,Scandinavia,Away,Away,64,0,0,0,0,,4,2,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,5,0,,8,0,0,4,3,0,3,,5,,,,3,0,0,0,4,0,,,,,,,,,,,,
2007,Hungary,Former Socialist Bloc,English,Magdi R£zsa,"""Unsubstantial Blues""",?,Female,Solo,9,128,Finland,Scandinavia,Away,Away,55,0,6,0,2,,0,5,0,0,4,0,0,8,4,10,0,5,7,0,,8,5,0,5,4,0,1,0,,0,4,8,2,2,8,0,,12,,,5,0,8,3,0,0,2,,,,,,,,,,,,
2007,Lithuania,Former Socialist Bloc,English,4Fun,"""Love or Leave""",?,Both,Group,21,28,Finland,Scandinavia,Away,Away,274,0,1,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,,0,0,0,,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,3,,,,,,,,,,,,
2007,Greece,Western Europe,English,Sarbel,"""Yassou Maria""",Hello Maria,Male,Solo,7,139,Finland,Scandinavia,Away,Away,29,7,0,8,0,,3,8,3,12,0,12,3,1,0,0,3,4,10,,7,5,0,1,0,0,3,0,6,,0,5,0,0,0,10,0,,4,,,0,2,4,4,4,0,10,,,,,,,,,,,,
2007,Georgia,Former Socialist Bloc,English,Sopho,"""Visionary Dream""",?,Female,Solo,12,97,Finland,Scandinavia,Away,Away,51,0,0,5,0,,6,6,1,0,2,1,1,0,5,7,0,,0,3,2,0,1,6,6,12,0,0,4,,0,2,0,5,0,0,7,,0,,,2,0,0,0,5,8,0,,,,,,,,,,,,
2007,Sweden,Scandinavia,English,The Ark,"""The Worrying Kind""",?,Male,Group,18,51,Finland,Scandinavia,Away,Home,11,0,2,0,0,,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,,0,0,12,0,0,0,0,,0,,,0,0,,0,0,0,7,,,,,,,,,,,,
2007,France,Western Europe,"French, English (""Franglais"")",Les Fatals Picards,"""L'amour Ö la franáaise""",Love - the French way,Male,Group,22,19,Finland,Scandinavia,Away,Away,144,4,8,2,0,,0,0,0,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,0,3,0,0,0,,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,,,,,,,,,,,,
2007,Latvia,Former Socialist Bloc,Italian,Bonaparti.lv,"""Questa notte""",Tonight,Male,Group,16,54,Finland,Scandinavia,Away,Away,18,0,0,0,0,,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,10,0,,10,0,4,0,,0,3,3,1,0,2,0,,0,,,6,0,0,0,0,0,4,,,,,,,,,,,,
